Date,Open,High,Low,Close,Volume
2025-12-07T23:10:00.000Z,25738.75,25743.75,25723.5,25729.75,274
2025-12-07T23:15:00.000Z,25728.25,25744.5,25725,25736.25,390
2025-12-07T23:20:00.000Z,25736.5,25754.5,25736.5,25749.25,665
2025-12-07T23:25:00.000Z,25749.75,25752.25,25733.5,25746.25,393
2025-12-07T23:30:00.000Z,25746,25752.75,25743,25750.25,291
2025-12-07T23:35:00.000Z,25750.25,25756.5,25746.25,25748.75,265
2025-12-07T23:40:00.000Z,25748.5,25750,25740,25748.25,193
2025-12-07T23:45:00.000Z,25746.25,25751.5,25742.75,25749,118
2025-12-07T23:50:00.000Z,25747.75,25752,25747,25749.5,110
2025-12-07T23:55:00.000Z,25749.75,25753.25,25743,25746.5,195
2025-12-08T00:00:00.000Z,25746.25,25747,25708,25720.25,981
2025-12-08T00:05:00.000Z,25717.25,25720.75,25709,25711.75,387
2025-12-08T00:10:00.000Z,25710,25715.75,25700.25,25714,513
2025-12-08T00:15:00.000Z,25712.75,25722.25,25710.25,25718.5,473
2025-12-08T00:20:00.000Z,25718,25735.25,25716.25,25728,344
2025-12-08T00:25:00.000Z,25727,25734.25,25725.75,25732.25,222
2025-12-08T00:30:00.000Z,25731.5,25738.75,25725.5,25733,361
2025-12-08T00:35:00.000Z,25734.75,25739.75,25733.5,25735,232
2025-12-08T00:40:00.000Z,25735.25,25740.75,25732.75,25737.5,158
2025-12-08T00:45:00.000Z,25736.25,25744.5,25733,25743.75,347
2025-12-08T00:50:00.000Z,25744.75,25750,25738.25,25748,281
2025-12-08T00:55:00.000Z,25748,25750.25,25742.75,25747.25,164
2025-12-08T01:00:00.000Z,25746.25,25758,25743.5,25752.75,663
2025-12-08T01:05:00.000Z,25751.75,25765,25751.25,25754.5,488
2025-12-08T01:10:00.000Z,25753.75,25757.75,25743,25747.5,417
2025-12-08T01:15:00.000Z,25746.5,25755.75,25743,25748,500
2025-12-08T01:20:00.000Z,25749,25754.5,25746,25749.75,215
2025-12-08T01:25:00.000Z,25750.75,25754.5,25748.5,25749.25,167
2025-12-08T01:30:00.000Z,25751.5,25758.75,25750.75,25757.75,264
2025-12-08T01:35:00.000Z,25758.25,25767.75,25758.25,25762.25,436
2025-12-08T01:40:00.000Z,25762.5,25769.5,25761.5,25763.5,221
2025-12-08T01:45:00.000Z,25764,25769.25,25762,25768,176
2025-12-08T01:50:00.000Z,25767,25772,25764.25,25769.75,231
2025-12-08T01:55:00.000Z,25767,25768.5,25764,25768.25,119
2025-12-08T02:00:00.000Z,25768,25773.5,25761.5,25769.25,363
2025-12-08T02:05:00.000Z,25769.25,25770,25765,25768.5,199
2025-12-08T02:10:00.000Z,25767.25,25772.25,25766.5,25769.25,128
2025-12-08T02:15:00.000Z,25769.75,25781,25769.5,25775.25,475
2025-12-08T02:20:00.000Z,25774.25,25779,25772.75,25778,190
2025-12-08T02:25:00.000Z,25777.5,25782.25,25773.25,25777,310
2025-12-08T02:30:00.000Z,25777,25782,25775,25778.25,186
2025-12-08T02:35:00.000Z,25777.5,25783.25,25775.5,25775.75,228
2025-12-08T02:40:00.000Z,25776.25,25777.25,25769.5,25775.25,505
2025-12-08T02:45:00.000Z,25775.5,25776.5,25771.75,25775.25,286
2025-12-08T02:50:00.000Z,25774.75,25775.75,25770.75,25772.75,154
2025-12-08T02:55:00.000Z,25774,25782.75,25772.25,25782.5,328
2025-12-08T03:00:00.000Z,25783,25787,25777,25781,340
2025-12-08T03:05:00.000Z,25780.5,25785.25,25780.25,25783.75,132
2025-12-08T03:10:00.000Z,25784.25,25786.75,25782.25,25786.5,158
2025-12-08T03:15:00.000Z,25785.75,25787,25782.5,25784.75,109
2025-12-08T03:20:00.000Z,25784.25,25789.75,25784,25788,254
